,High,ISIN,Last,Last Date/Time,Low,Market,Name,Open,Symbol,Ticker,Time Zone,Trading Currency,Turnover,Volume,City,sector,industry,ebitdaMargins,profitMargins,revenueGrowth,operatingMargins,returnOnAssets,recommendationKey,recommendationMean,debtToEquity,totalCashPerShare,quickRatio,exchange,beta,enterpriseToEbitda,enterpriseToRevenue,bookValue,earningsQuarterlyGrowth,forwardPE,mostRecentQuarter,logo_url
0,18.5,FR0010285965,18.45,13/08/2021 17:29,18.45,Euronext Growth,1000MERCIS,18.5,ALMIL,ALMIL.PA,CET,EUR,868.15,47,Paris,Communication Services,Advertising Agencies,-0.02933,-0.11319,-0.099,-0.105100006,-0.04208,none,,42.532,9.213,1.491,PAR,0.940516,-21.153,0.62,16.864,,6.3068185,2020-12-31,https://logo.clearbit.com/numberly.com
1,117.5,BMG9156K1018,116.5,13/08/2021 16:25,116,B?rs,2020 BULKERS,117,2020,2020.OL,CET,NOK,6158549,52805,Oslo,Industrials,Marine Shipping,0.7107,0.41347,1.63,0.55746,0.06652,none,,161.85,1.019,1.167,OSL,1.001319,62.965,44.75,6.518,6.125,,2021-06-30,https://logo.clearbit.com/2020bulkers.com
2,4.26,FR0013341781,4.26,13/08/2021 17:36,4.21,Euronext,2CRSI,4.235,2CRSI,2CRSI.PA,CET,EUR,23142.155,5481,Paris,Technology,Computer Hardware,0.013739999,-0.02564,,0.00349,0.00225,none,,181.433,0.319,0.942,PAR,1.763502,59.435,0.817,3.056,,,2021-02-28,https://logo.clearbit.com/2crsi.com
3,9.88,FR0014000T90,9.88,13/08/2021 17:06,9.75,Euronext,2MX ORGANIC,9.784,2MX,2MX.PA,CET,EUR,28840.141,2934,Paris,Financial Services,Shell Companies,0.0,0.0,,0.0,,none,,,,,PAR,,,,,,,No info,https://logo.clearbit.com/2mxorganic.com
4,0.2746,FR0014000TB2,0.2746,09/08/2021 11:38,0.2746,Euronext,2MX ORGANIC BS,0.2746,2MXBS,2MXBS.PA,CET,EUR,823.8,3000,Paris,nan,nan,,,,,,nan,,,,,PAR,,,,,,,No info,
5,0.999,DK0060945467,0.932,13/08/2021 16:25,0.921,Euronext Expand,5TH PLANET GAMES,0.999,5PG,5PG.OL,CET,NOK,1513847.75,1590931,Oslo,Communication Services,Electronic Gaming & Multimedia,0.0,0.0,1.049,-3.9821398,-0.47992,none,,3.748,0.223,5.939,OSL,2.347729,-4.286,17.004,0.196,,,2020-12-31,https://logo.clearbit.com/5thplanetgames.com
6,1.48,FR0010050773,1.35,13/11/2019 16:53,1.35,Euronext Access,A TOUTE VITESSE,1.48,MLATV,MLATV.PA,CET,EUR,521.87,378,Paris,nan,nan,,,,,,nan,,,,,nan,,,,,,,No info,
7,6.32,FR0000076887,6.3,13/08/2021 17:29,6.26,Euronext,A.S.T. GROUPE,6.28,ASP,ASP.PA,CET,EUR,13391.74,2131,Paris,Consumer Cyclical,Residential Construction,0.06084,0.03096,0.015,0.05104,0.03911,none,,108.304,4.439,1.037,PAR,1.483726,6.289,0.383,3.154,1.275,15.377778,2020-12-31,https://logo.clearbit.com/ast-groupe.fr
8,53.2,NL0000852564,53.08,13/08/2021 17:36,52.7,Euronext,AALBERTS NV,53.14,AALB,AALB.AS,CET,EUR,4125191.48,77800,Amsterdam,Industrials,Specialty Industrial Machinery,0.13373,0.04494,-0.059,0.0798,0.03874,none,,36.926,0.505,0.469,AMS,1.796572,16.012,2.141,16.044,-0.505,21.02092,2020-12-31,https://logo.clearbit.com/aalberts.com
9,134,NO0010672181,134,13/08/2021 09:00,134,Euronext Growth,AASEN SPAREBANK,134,AASB,AASB.OL,CET,NOK,9380,70,Oslo,Financial Services,Banks—Regional,0.0,0.3637,0.277,0.47997,0.00994,none,,,11.927,,OSL,0.42786,,8.419,528.475,0.523,,2021-03-31,https://logo.clearbit.com/aasen-sparebank.no
10,52.79,BE0974293251,52.67,13/08/2021 17:35,52.08,Euronext,AB INBEV,52.4,ABI,ABI.BR,CET,EUR,81852225.59,1556873,Brussels,Consumer Defensive,Beverages—Brewers,0.33319,0.11209,0.315,0.26792,0.03888,none,,113.923,3.574,0.421,BRU,1.429854,11.584,3.86,34.491,4.323,10.276041,2021-06-30,https://logo.clearbit.com/ab-inbev.com
11,12.43,FR0010557264,12.25,13/08/2021 17:35,12.1,Euronext,AB SCIENCE,12.19,AB,AB.PA,CET,EUR,618992.86,50688,Paris,Healthcare,Drug Manufacturers—Specialty & Generic,0.0,0.0,-0.005,-9.31712,-0.38872,none,,,0.416,0.93,PAR,0.837479,-26.081,224.104,-0.394,,-15.964286,2020-12-31,https://logo.clearbit.com/ab-science.com
12,7.33,FR0004040608,7.28,13/08/2021 17:35,7.28,Euronext,ABC ARBITRAGE,7.33,ABCA,ABCA.PA,CET,EUR,108616.07,14872,Paris,Financial Services,Asset Management,0.5224,0.5078,0.246,0.51321,0.1388,none,,0.745,2.736,9.501,PAR,0.107002,7.027,3.671,2.649,-0.046,12.446428,2020-12-31,https://logo.clearbit.com/abc-arbitrage.com
13,15.75,FR0013185857,15.45,13/08/2021 13:25,15.45,Euronext,ABEO,15.55,ABEO,ABEO.PA,CET,EUR,7528.45,481,Paris,Consumer Cyclical,Leisure,0.08344,-0.0035100002,-0.208,0.046129998,0.015470001,none,,171.303,9.594,1.249,PAR,1.41835,14.369,1.199,12.944,4.692,10.442177,2021-03-31,https://logo.clearbit.com/groupe-abeo.fr
14,9.69,NO0003021909,9.57,13/08/2021 16:26,9.5,B?rs,ABG SUNDAL COLLIER,9.69,ABG,ABG.OL,CET,NOK,4414003.08,462036,Oslo,Financial Services,Capital Markets,0.0,0.26955,0.988,0.37104,0.118710004,none,,25.775,2.641,1.09,OSL,1.071829,,1.205,2.443,1.974,,2021-06-30,https://logo.clearbit.com/abgsc.com
