Name;ISIN;Symbol;Market;Trading Currency;Open;High;Low;Last;Last Date/Time;Time Zone;Volume;Turnover
1000MERCIS;FR0010285965;ALMIL;Euronext Growth Paris;EUR;18.5;18.5;18.45;18.45;13/08/2021 17:29;CET;47;868.15
2020 BULKERS;BMG9156K1018;2020;Oslo Børs;NOK;117;117.5;116;116.5;13/08/2021 16:25;CET;52805;6158549
2CRSI;FR0013341781;2CRSI;Euronext Paris;EUR;4.235;4.26;4.21;4.26;13/08/2021 17:36;CET;5481;23142.155
2MX ORGANIC;FR0014000T90;2MX;Euronext Paris;EUR;9.784;9.88;9.75;9.88;13/08/2021 17:06;CET;2934;28840.141
2MX ORGANIC BS;FR0014000TB2;2MXBS;Euronext Paris;EUR;0.2746;0.2746;0.2746;0.2746;09/08/2021 11:38;CET;3000;823.8
5TH PLANET GAMES;DK0060945467;5PG;Euronext Expand Oslo;NOK;0.999;0.999;0.921;0.932;13/08/2021 16:25;CET;1590931;1513847.75
A TOUTE VITESSE;FR0010050773;MLATV;Euronext Access Paris;EUR;1.48;1.48;1.35;1.35;13/11/2019 16:53;CET;378;521.87
A.S.T. GROUPE;FR0000076887;ASP;Euronext Paris;EUR;6.28;6.32;6.26;6.3;13/08/2021 17:29;CET;2131;13391.74
AALBERTS NV;NL0000852564;AALB;Euronext Amsterdam;EUR;53.14;53.2;52.7;53.08;13/08/2021 17:36;CET;77800;4125191.48
AASEN SPAREBANK;NO0010672181;AASB;Euronext Growth Oslo;NOK;134;134;134;134;13/08/2021 09:00;CET;70;9380
AB INBEV;BE0974293251;ABI;Euronext Brussels;EUR;52.4;52.79;52.08;52.67;13/08/2021 17:35;CET;1556873;81852225.59
AB SCIENCE;FR0010557264;AB;Euronext Paris;EUR;12.19;12.43;12.1;12.25;13/08/2021 17:35;CET;50688;618992.86
ABATTOIR;BE0946377455;-;Euronext Expert Market;EUR;47.7;47.7;47.7;47.7;24/01/2017 11:30;CET;500;23850
ABC ARBITRAGE;FR0004040608;ABCA;Euronext Paris;EUR;7.33;7.33;7.28;7.28;13/08/2021 17:35;CET;14872;108616.07
ABEO;FR0013185857;ABEO;Euronext Paris;EUR;15.55;15.75;15.45;15.45;13/08/2021 13:25;CET;481;7528.45
ABG SUNDAL COLLIER;NO0003021909;ABG;Oslo Børs;NOK;9.69;9.69;9.5;9.57;13/08/2021 16:26;CET;462036;4414003.08
ABIONYX PHARMA;FR0012616852;ABNX;Euronext Paris;EUR;1.08;1.08;1.05;1.064;13/08/2021 17:35;CET;28002;29857.974
ABIVAX;FR0012333284;ABVX;Euronext Paris;EUR;26.5;27.2;26.25;26.75;13/08/2021 17:35;CET;10807;289081.05
ABN AMRO BANK N.V.;NL0011540547;ABN;Euronext Amsterdam;EUR;11.542;11.836;11.486;11.762;13/08/2021 17:36;CET;3505298;41116974.46
ABO GROUP;BE0974278104;ABO;Euronext Brussels, Paris;EUR;6.25;6.25;6.15;6.15;13/08/2021 16:56;CET;4335;26682.75
ACACIA PHARMA;GB00BYWF9Y76;ACPH;Euronext Brussels;EUR;2.22;2.29;2.215;2.23;13/08/2021 17:35;CET;51566;115647.135
ACANTHE DEV.;FR0000064602;ACAN;Euronext Paris;EUR;0.415;0.42;0.405;0.41;13/08/2021 15:32;CET;9953;4148.646
ACCELL GROUP;NL0009767532;ACCEL;Euronext Amsterdam;EUR;41.4;41.7;40.9;41.15;13/08/2021 17:35;CET;39351;1619864.25
ACCENTIS;BE0003696102;ACCB;Euronext Brussels;EUR;0.054;0.054;0.053;0.054;13/08/2021 15:27;CET;218900;11799.54
ACCOR;FR0000120404;AC;Euronext Paris;EUR;28.87;29.32;28.8;28.95;13/08/2021 17:37;CET;670930;19478981.77
ACCOR AC SHARES;FR0014003PZ3;AAC;Euronext Paris;EUR;9.601;9.89;9.601;9.89;13/08/2021 16:11;CET;101;984.68
ACCOR AC WARRANTS;FR0014003QK3;AACW;Euronext Paris;EUR;0.4;0.4;0.4;0.4;30/07/2021 09:00;CET;3;1.2
ACCOR NV21;FR00140015P7;ACNV;Euronext Paris;EUR;-;-;-;-;-;CET;-;-
ACCSYS;GB00BQQFX454;AXS;Euronext Amsterdam;EUR;1.958;1.98;1.956;1.956;13/08/2021 17:35;CET;62270;122763.758
ACHETER-LOUER.FR;FR0010493510;ALALO;Euronext Growth Paris;EUR;0.0123;0.0147;0.0123;0.0127;13/08/2021 17:35;CET;63583874;844849.3153
ACKERMANS V.HAAREN;BE0003764785;ACKB;Euronext Brussels;EUR;149.6;149.8;148.8;149.5;13/08/2021 17:35;CET;9769;1459244.2
ACTEOS;FR0000076861;EOS;Euronext Paris;EUR;2.43;2.45;2.43;2.45;13/08/2021 16:06;CET;366;895.46
ACTIA GROUP;FR0000076655;ATI;Euronext Paris;EUR;3.14;3.18;3.09;3.12;13/08/2021 16:47;CET;12314;39010.44
ACTIVIUM GROUP;FR0010979377;MLACT;Euronext Access Paris;EUR;1.36;1.47;1.36;1.47;12/08/2021 16:30;CET;45;62.3
ACVLHO;BE0010012210;-;Euronext Expert Market;EUR;4500.01;4500.01;4500.01;4500.01;07/07/2015 11:30;CET;3;13500.03
ADA;FR0000053076;ALADA;Euronext Growth Paris;EUR;11.1;11.1;11.1;11.1;13/08/2021 09:00;CET;1;11.1
ADC SIIC;BE0974269012;ALDV;Euronext Paris;EUR;0.12;0.12;0.12;0.12;06/08/2021 16:30;CET;2022;242.64
ADEUNIS;FR0013284627;ALARF;Euronext Growth Paris;EUR;2.56;2.56;2.55;2.56;13/08/2021 13:40;CET;221;564.26
ADEVINTA;NO0010844038;ADE;Oslo Børs;NOK;168.7;172.1;168.6;171.65;13/08/2021 16:26;CET;138985;23789258.6
ADL PARTNER;FR0000062978;ALP;Euronext Paris;EUR;15.85;15.9;15.7;15.7;13/08/2021 16:31;CET;192;3019.05
ADOCIA;FR0011184241;ADOC;Euronext Paris;EUR;9.2;9.2;9.14;9.15;13/08/2021 13:38;CET;981;8983.9
ADOMOS;FR0013247244;ALADO;Euronext Growth Paris;EUR;0.206;0.208;0.205;0.208;13/08/2021 14:54;CET;6504;1347.7395
ADP;FR0010340141;ADP;Euronext Paris;EUR;102.5;102.7;100.75;101.7;13/08/2021 17:36;CET;69026;7012927.55
ADS MARITIME HOLD;CY0108052115;ADS;Euronext Growth Oslo;NOK;1.684;1.754;1.67;1.754;13/08/2021 16:25;CET;78046;132433.846
ADTHINK;FR0010457531;ALADM;Euronext Growth Paris;EUR;1.21;1.25;1.205;1.205;13/08/2021 17:27;CET;18316;22367.3
ADUX;FR0012821890;ADUX;Euronext Paris, Amsterdam;EUR;1.99;2;1.955;1.985;13/08/2021 14:35;CET;556;1105.01
ADVENIS;FR0004152874;ADV;Euronext Paris;EUR;2.26;2.26;2.2;2.2;11/08/2021 09:27;CET;85;190
ADVICENNE;FR0013296746;ADVIC;Euronext Paris, Brussels;EUR;7.5;7.6;7.46;7.48;13/08/2021 17:35;CET;25334;191110.15
ADVINI;FR0000053043;ADVI;Euronext Paris;EUR;20.8;21;20.8;21;13/08/2021 09:38;CET;101;2120.8
ADYEN;NL0012969182;ADYEN;Euronext Amsterdam;EUR;2347.5;2360.5;2328;2356.5;13/08/2021 17:35;CET;36157;84844938
AEDIFICA;BE0003851681;AED;Euronext Brussels, Amsterdam;EUR;122.8;123.8;121.8;123.4;13/08/2021 17:35;CET;24808;3051874.7
