,Unnamed: 0,Unnamed: 0.1,Sector,Industry,Name,Symbol,Volume,Market Cap,longName,ebitdaMargins,profitMargins,revenueGrowth,operatingMargins,returnOnAssets,recommendationKey,recommendationMean,debtToEquity,totalCashPerShare,quickRatio,exchange,beta,enterpriseToEbitda,enterpriseToRevenue,bookValue,earningsQuarterlyGrowth,forwardPE,mostRecentQuarter,logo_url
0,0,0,Capital Goods,Electrical Products,Agilent Technologies Inc. Common Stock,A,1733161,48317264717.0,"Agilent Technologies, Inc.",0.28688,0.16118999,0.258,0.23592,0.0904,buy,1.9,57.784,4.713,1.479,NYQ,0.993006,30.143,8.647,15.755999999999998,0.327,41.119263,2021-07-31,https://logo.clearbit.com/agilent.com
1,1,1,Basic Industries,Aluminum,Alcoa Corporation Common Stock ,AA,5838841,8455693559.0,Alcoa Corporation,0.16539,0.041199997,0.319,0.100959994,0.04759,buy,2.2,43.226000000000006,8.841000000000003,0.897,NYQ,2.699789,5.425,0.897,17.395,,10.585201,2021-06-30,https://logo.clearbit.com/alcoa.com
2,2,2,Finance,Business Services,Ares Acquisition Corporation Class A Ordinary Shares,AAC,31452,1213750000.0,Ares Acquisition Corporation,0.0,0.0,,0.0,,none,,,0.01,6.2170000000000005,NYQ,,,,0.04,,,2021-03-31,
3,3,3,Miscellaneous,Service to the Health Industry,ATA Creativity Global American Depositary Shares,AACG,254835,85910219.0,ATA Creativity Global,-0.40771,-0.54345,0.149,-0.60529,-0.10366999,none,,19.918,3.044,0.34700000000000003,NGM,1.279503,-1.296,0.529,,,,2021-03-31,https://logo.clearbit.com/atai.net.cn
4,4,4,No info,,Armada Acquisition Corp. I Unit,AACIU,4794118,0.0,Armada Acquisition Corp. I Unit,0.0,0.0,,0.0,,none,,28.518,0.0,,NGM,,,,0.005,,,2021-02-08,
5,5,5,Finance,Finance/Investors Services,Arlington Asset Investment Corp Class A (new),AAIC,176431,124151301.0,Arlington Asset Investment Corp.,0.0,0.62198,,0.6341100000000001,0.0125899995,hold,2.7,267.883,17.4,1.4269999999999998,NYQ,1.8625,,6.871,,,,2021-03-31,https://logo.clearbit.com/arlingtonasset.com
6,6,6,No info,,Arlington Asset Investment Corp 7.00% ,AAIC^B,42,,Arlington Asset Investment Corp 7.00% ,,,,,,,,,,,,,,,,,,No info,
7,7,7,No info,,Arlington Asset Investment Corp 8.250% Seies C Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock   ,AAIC^C,5772,,Arlington Asset Investment Corp 8.250% Seies C Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock   ,,,,,,,,,,,,,,,,,,No info,
8,8,8,No info,,Arlington Asset Investment Corp 6.000% Senior Notes Due 2026,AAIN,5737,0.0,Arlington Asset Investment Corp 6.000% Senior Notes Due 2026,,,,,,,,,,,NYQ,,,,,,,No info,
9,9,9,Transportation,Air Freight/Delivery Services,American Airlines Group Inc. Common Stock,AAL,30754456,12845563367.0,American Airlines Group Inc.,-0.8388899999999999,-0.61528,-0.529,-1.0127,-0.12765001,hold,3.1,,21.889,0.866,NMS,1.850543,-4.481,3.759,-12.387,,-278.2857,2021-03-31,https://logo.clearbit.com/aa.com
10,10,10,Finance,Investment Managers,Altisource Asset Management Corp Com,AAMC,938,29236886.0,Altisource Asset Management Corporation,0.0,0.0,,0.0,-0.16756001,none,,0.809,43.44,7.051,ASE,0.746276,-9.78,,-100.943,,,2020-12-31,https://logo.clearbit.com/altisourceamc.com
11,11,11,Finance,Life Insurance,Atlantic American Corporation Common Stock,AAME,62285,78581438.0,Atlantic American Corporation,0.11152001,0.07862999999999999,0.035,0.106750004,0.034910000000000004,none,,27.02,0.467,0.732,NGM,0.202797,4.63,0.516,7.103,-0.547,,2021-06-30,https://logo.clearbit.com/atlam.com
12,12,12,Miscellaneous,Diversified Commercial Services,Aarons Holdings Company Inc. Common Stock ,AAN,321400,955345801.0,"The Aaron's Company, Inc.",0.44912,0.052820000000000006,0.111,0.12569,,hold,2.7,34.748000000000005,1.787,0.429,NYQ,,1.666,0.748,21.639,,9.414893,2021-03-31,https://logo.clearbit.com/aarons.com
13,13,13,Technology,Semiconductors,Applied Optoelectronics Inc. Common Stock,AAOI,791430,191075231.0,"Applied Optoelectronics, Inc.",-0.09526,-0.20135,-0.16899999999999998,-0.20456,-0.06258,hold,2.7,55.808,1.622,1.021,NGM,1.806347,-13.927,1.327,10.396,,-39.449997,2021-06-30,https://logo.clearbit.com/ao-inc.com
