,Company,Symbol,Country,Class of Share,Traded Currency,Primary listing,Valor Number,Ticker,sector,industry,ebitdaMargins,profitMargins,revenueGrowth,operatingMargins,returnOnAssets,recommendationKey,recommendationMean,debtToEquity,totalCashPerShare,quickRatio,exchange,beta,enterpriseToEbitda,enterpriseToRevenue,bookValue,earningsQuarterlyGrowth,forwardPE,mostRecentQuarter,logo_url
0,3M Company,MMM,US,Registered Share,CHF,False,1405105,MMM.SW,Industrials,Specialty Industrial Machinery,0.29003,0.17038,0.247,0.23501,0.10925999,none,,131.71,9.51,1.112,EBS,0.953056,10.951,3.176,23.737,0.167,,2021-06-30,https://logo.clearbit.com/3m.com
1,ABB Ltd,ABBN,CH,Registered Share,CHF,True,1222171,ABBN.SW,Industrials,Electrical Equipment & Parts,0.1288,0.20292,0.21,0.09835,0.04004,none,,52.615,1.938,0.761,EBS,1.06285,19.789,2.549,6.764,1.357,,2021-06-30,https://logo.clearbit.com/global.abb
2,Abbott Laboratories,ABT,US,Registered Share,CHF,False,903037,ABT.SW,Healthcare,Medical Devices,0.27738002,0.1533,0.353,0.18544,0.06202,none,,54.587,4.712,1.161,EBS,0.67519,17.978,4.987,18.889,2.179,,2021-03-31,https://logo.clearbit.com/abbott.com
3,Achiko AG,ACHI,CH,Registered Share,CHF,True,52221346,ACHI.SW,Technology,Information Technology Services,0.0,0.0,-0.964,-4.525,-2.92086,none,,,0.006,0.119,EBS,,-1.589,7.178,-0.038,,,2020-12-31,https://logo.clearbit.com/achiko.com
4,Addex Therapeutics Ltd,ADXN,CH,Registered Share,CHF,True,2985075,ADXN.SW,Healthcare,Biotechnology,0.0,0.0,0.15,-3.17185,-0.35395,none,,2.558,0.532,5.259,EBS,1.460157,-2.718,8.729,0.608,,,2021-06-30,https://logo.clearbit.com/addextherapeutics.com
5,Adecco Group AG,ADEN,CH,Registered Share,CHF,True,1213860,ADEN.SW,Industrials,Staffing & Employment Services,0.04777,0.024319999,0.259,0.04161,0.055069998,none,,72.507,7.988,1.168,EBS,1.338945,9.347,0.446,21.248,5.905,,2021-06-30,https://logo.clearbit.com/adeccogroup.com
6,Adval Tech Holding AG,ADVN,CH,Registered Share,CHF,True,896792,ADVN.SW,Industrials,Metal Fabrication,0.11983,0.051960003,0.469,0.06822,0.04346,none,,0.486,24.754,1.797,EBS,0.307297,5.658,0.678,173.361,87.75,,2021-06-30,https://logo.clearbit.com/advaltech.com
7,AEVIS VICTORIA SA,AEVS,CH,Registered Share,CHF,True,47863410,AEVS.SW,Healthcare,Medical Care Facilities,0.01898,-0.05088,0.02,-0.056599997,-0.01625,none,,200.585,0.789,0.676,EBS,0.275533,162.786,3.09,4.35,,,2020-12-31,https://logo.clearbit.com/aevis.com
8,Airesis SA,AIRE,CH,Registered Share,CHF,True,1094762,AIRE.SW,Financial Services,Asset Management,-0.16455999,-0.18200001,-0.221,-0.18361999,-0.072519995,none,,,0.079,0.36,EBS,0.628571,-8.063,1.327,-0.055,,,2020-12-31,https://logo.clearbit.com/airesis.com
9,Alcon Inc.,ALC,CH,Registered Share,CHF,True,43249246,ALC.SW,Healthcare,Medical Instruments & Supplies,0.19373,-0.056339998,0.048,-0.01055,-0.0016699999,none,,23.835,3.209,1.61,EBS,0.485265,25.716,4.982,38.606,,,2021-03-31,https://logo.clearbit.com/alcon.com
