,Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,EV/EBITDA,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a,Setor,Subsetor,Nome,Ticker,Data_ultimo_balanco
0,PMET3,0.0,0.0,0.0,0.0,"0,00%",0.0,0.0,0.0,0.0,0.0,0.0,"0,00%","0,00%",0.0,"0,00%","4,10%",0.0,-290863000.0,0.0,"37,74%",Not found,Not found,PRO METALURG,PMET3.SA,31/12/2013
1,MNSA3,0.42,0.0,0.0,0.0,"0,00%",0.0,0.0,0.0,0.0,0.0,0.0,"-208,15%","-362,66%",3.63,"-13,50%","145,70%",0.0,-9105000.0,-6.52,"-41,11%",Not found,Not found,MANASA,MNSA3.SA,31/12/2005
2,IVTT3,0.0,0.0,0.0,0.0,"0,00%",0.0,0.0,0.0,0.0,0.0,0.0,"0,00%","0,00%",0.0,"0,00%","-0,40%",0.0,1083050000.0,0.0,"20,67%",Exploração de Imóveis,Exploração de Imóveis,BHG,IVTT3.SA,31/03/2015
3,CSTB4,147.69,0.0,0.0,0.0,"0,00%",0.0,0.0,0.0,0.0,0.0,0.0,"40,85%","28,98%",2.6,"22,40%","20,11%",0.0,8420670000.0,0.14,"31,91%",Not found,Not found,COMPANHIA SIDERÚRGICA DE TUBARÃO,CSTB4.SA,30/09/2005
4,CFLU4,1000.0,0.0,0.0,0.0,"0,00%",0.0,0.0,0.0,0.0,0.0,0.0,"8,88%","10,72%",1.1,"17,68%","32,15%",0.0,60351000.0,0.06,"8,14%",Not found,Not found,COCA COLA,CFLU4.SA,30/09/2005
5,POPR4,10.17,0.0,0.0,0.0,"0,00%",0.0,0.0,0.0,0.0,0.0,0.0,"8,66%","5,65%",1.08,"15,25%","19,93%",0.0,545803000.0,0.82,"30,93%",Not found,Not found,POLIPROPILENO S.A.,POPR4.SA,30/09/2005
6,MNSA4,0.47,0.0,0.0,0.0,"0,00%",0.0,0.0,0.0,0.0,0.0,0.0,"-208,15%","-362,66%",3.63,"-13,50%","145,70%",0.0,-9105000.0,-6.52,"-41,11%",Not found,Not found,MANASA,MNSA4.SA,31/12/2005
7,CLAN3,0.0,0.0,0.0,0.0,"0,00%",0.0,0.0,0.0,0.0,0.0,0.0,"0,00%","0,00%",0.0,"0,00%","-1,05%",0.0,1012240000.0,0.0,"-63,96%",Not found,Not found,CLARION,CLAN3.SA,31/12/2012
8,CSTB3,150.0,0.0,0.0,0.0,"0,00%",0.0,0.0,0.0,0.0,0.0,0.0,"40,85%","28,98%",2.6,"22,40%","20,11%",0.0,8420670000.0,0.14,"31,91%",Not found,Not found,COMPANHIA SIDERÚRGICA DE TUBARÃO,CSTB3.SA,30/09/2005
9,PORP4,2.4,0.0,0.0,0.0,"0,00%",0.0,0.0,0.0,0.0,0.0,0.0,"0,00%","0,00%",0.0,"0,00%","-2,08%",0.0,22399000.0,0.0,"13,66%",Not found,Not found,POLIPROPILENO PARTICIPAÇÕES S.A.,PORP4.SA,30/09/2005
10,GFSA3,3.1,-666.86,0.59,0.829,"0,00%",0.236,0.81,10.3,2.72,18.47,16.41,"8,04%","-0,10%",1.75,"2,65%","-0,09%",20242800.0,1630560000.0,0.78,"18,80%",Construção Civil,Incorporações,GAFISA,GFSA3.SA,30/06/2021
11,PLDN4,486.0,-553.07,1.08,0.919,"0,00%",0.611,1.07,-75.56,3.1,-33.12,-33.12,"-1,22%","-0,17%",10.81,"-1,27%","-0,20%",0.0,289939000.0,0.01,"10,26%",Not found,Not found,POLIALDEN,PLDN4.SA,31/03/2006
12,DASA3,53.22,-482.82,4.01,3.143,"0,47%",1.641,10.14,706.82,-10.02,741.64,35.38,"0,44%","-0,56%",1.61,"0,33%","-0,83%",18951500.0,7265200000.0,0.79,"27,54%",Serv.Méd.Hospit. Análises e Diagnósticos,Serv.Méd.Hospit. Análises e Diagnósticos,DIAGNOSTICOS DA AMERICA SA,DASA3.SA,30/06/2021
13,MAPT4,46.79,-390.91,-7.32,0.0,"0,00%",55.627,-3909.09,-457.45,-6.47,-457.45,-457.45,"0,00%","0,00%",0.0,"-12,34%","1,87%",10323.3,-5876000.0,0.0,"0,00%",Outros,Outros,CIA MARCOPOLO,MAPT4.SA,30/06/2021
14,LCSA4,35.09,-337.52,-228.0,79.738,"0,00%",125.308,-202.27,-505.8,-96.61,-506.56,-506.56,"-15,77%","-23,63%",0.29,"-28,74%","67,55%",0.0,-377568000.0,-0.35,"6.354,07%",Not found,Not found,NÃO CONSTA,LCSA4.SA,30/09/2009
15,WEST3,7.42,-337.0,2.02,2.993,"0,00%",1.538,2.32,-34.29,2.54,-19.02,-24.79,"-8,73%","-0,89%",4.62,"-23,24%","-0,60%",5619040.0,403271000.0,0.08,"0,00%",Programas e Serviços,Programas e Serviços,WESTWING,WEST3.SA,31/03/2021
16,MAPT3,37.0,-309.12,-5.79,0.0,"0,00%",43.988,-3091.18,-361.73,-5.11,-361.73,-361.73,"0,00%","0,00%",0.0,"-12,34%","1,87%",0.0,-5876000.0,0.0,"0,00%",Outros,Outros,CIA MARCOPOLO,MAPT3.SA,30/06/2021
17,BHGR3,19.1,-272.16,1.1,3.613,"0,00%",0.855,-194.45,23.7,-8.56,25.95,14.2,"15,24%","-1,31%",0.96,"3,93%","-0,40%",0.0,1077600000.0,0.2,"20,67%",Exploração de Imóveis,Exploração de Imóveis,BHG,BHGR3.SA,31/03/2015
18,SBFG3,33.72,-266.96,4.31,2.277,"0,00%",1.237,6.45,67.89,-5.81,83.27,25.21,"3,35%","-0,85%",1.62,"2,20%","-1,62%",32147800.0,1898800000.0,1.18,"30,19%",Comércio,Produtos Diversos,GRUPO SBF,SBFG3.SA,30/06/2021
19,CBEE3,23.4,-238.11,1.07,0.569,"0,00%",0.26,-4.17,61.05,-0.46,129.7,14.68,"0,93%","-0,24%",0.75,"0,48%","-0,45%",9487.32,3647310000.0,1.29,"7,82%",Energia Elétrica,Energia Elétrica,AMPLA ENERG,CBEE3.SA,30/06/2021
20,RJCP3,0.01,-224.7,0.65,0.0,"0,00%",0.619,0.0,-522.94,0.0,-523.96,-917.32,"0,00%","0,00%",0.0,"0,00%","-0,29%",0.0,17287200.0,0.0,"0,00%",Not found,Not found,RJCP EQUITY,RJCP3.SA,31/12/2015
21,ABYA3,4.91,-214.8,1.76,2.055,"0,00%",0.527,1.98,19.96,-2.75,33.67,33.67,"10,29%","-0,96%",2.09,"2,78%","-0,82%",0.0,292060000.0,1.31,"16,41%",Construção Civil,Incorporações,ABYARA,ABYA3.SA,31/03/2010
22,PITI4,1.28,-204.74,0.0,0.0,"0,00%",0.0,0.0,-2637.65,0.0,-2637.65,111.07,"0,00%","0,00%",0.0,"0,00%","0,00%",0.0,0.0,0.0,"-29,63%",Not found,Not found,"AV. DR CHUCRI ZAIDAN, 920 - 16§ ANDAR",PITI4.SA,30/09/2014
23,AMER3,40.94,-172.26,2.35,2.776,"0,00%",0.861,2.81,87.79,-25.79,91.81,34.88,"3,16%","-1,61%",2.04,"1,81%","-1,36%",225935000.0,15730600000.0,0.95,"11,77%",Comércio,Produtos Diversos,AMERICANAS,AMER3.SA,30/06/2021
24,TCNO3,3.13,-136.32,188.37,0.0,"0,00%",0.088,-0.21,-6.23,-0.11,-16.3,-18.34,"0,00%","0,00%",0.29,"-1,91%","-138,18%",1757730.0,110000.0,304.96,"-56,39%",Construção e Engenharia,Engenharia Consultiva,TECNOSOLO S/A,TCNO3.SA,31/03/2021
25,LCSA3,12.5,-120.23,-81.22,28.405,"0,00%",44.638,-72.05,-180.18,-34.41,-180.95,-180.95,"-15,77%","-23,63%",0.29,"-28,74%","67,55%",0.0,-377568000.0,-0.35,"6.354,07%",Not found,Not found,NÃO CONSTA,LCSA3.SA,30/09/2009
26,MAGG3,59.4,-119.98,1.32,0.684,"0,00%",0.44,9.32,4.07,-1.55,6.41,5.34,"16,82%","-0,57%",1.14,"14,05%","-1,10%",0.0,2246130000.0,1.03,"9,27%",Not found,Not found,MAGNESITA REFRATÁRIOS,MAGG3.SA,30/09/2018
27,TCNO4,2.5,-108.88,150.46,0.0,"0,00%",0.07,-0.17,-4.97,-0.08,-15.05,-16.93,"0,00%","0,00%",0.29,"-1,91%","-138,18%",2292290.0,110000.0,304.96,"-56,39%",Construção e Engenharia,Engenharia Consultiva,TECNOSOLO S/A,TCNO4.SA,31/03/2021
28,NORD3,16.1,-91.03,-0.76,58.797,"0,00%",6.144,-2.27,-90.49,-0.68,-122.13,-122.13,"-64,98%","-64,59%",0.03,"-7,00%","0,83%",78345.9,-140838000.0,-0.26,"57,56%",Máquinas e Equipamentos,Máq. e Equip. Industriais,NORDON INDS METALURGICAS SA,NORD3.SA,30/06/2021
29,LINX3,37.4,-90.95,4.38,7.885,"1,52%",2.745,11.96,53.17,47.06,51.49,22.97,"14,83%","-8,67%",2.14,"6,82%","-4,81%",29848100.0,1619010000.0,0.22,"15,54%",Programas e Serviços,Programas e Serviços,LINX,LINX3.SA,31/03/2021
30,BNCA3,70.3,-90.3,2.45,0.0,"0,00%",0.0,0.0,0.0,0.0,0.0,0.0,"0,00%","0,00%",0.0,"0,00%","-2,72%",0.0,3068150000.0,0.0,"2,41%",Intermediários Financeiros,Bancos,NOSSA CAIXA-NOSSO BANCO,BNCA3.SA,30/09/2009
